Moive_ID,Movie Rating,Duration,Gross_M,Worldwide LT Gross,Metascore,movie_age,Actionn,Comedy,Drama,Romance,Horror,Sci_fi,Family,Vote_Catg
Avatar_2009,7.8,162,760,2847397339,83,14,1,0,0,0,0,0,0,High
Avengers: Endgame_2019,8.4,181,858,2797501328,78,4,1,0,1,0,0,0,0,High
Titanic_1997,7.9,194,659,2201647264,75,26,0,0,1,1,0,0,0,High
Star Wars: Episode VII - The Force Awakens_2015,7.8,138,936,2069521700,80,8,1,0,0,0,0,1,0,Adequate
Avengers: Infinity War_2018,8.4,149,678,2048359754,68,5,1,0,0,0,0,1,0,High
Spider-Man: No Way Home_2021,8.3,148,804,1911432550,71,2,1,0,0,0,0,0,0,Adequate
Jurassic World_2015,6.9,124,652,1671537444,59,8,1,0,0,0,0,1,0,Adequate
The Lion King_2019,6.8,118,543,1663250487,55,4,0,0,1,0,0,0,0,Adequate
The Avengers_2012,8,143,623,1518815515,69,11,1,0,0,0,0,1,0,High
Fast & Furious 7_2015,7.1,137,353,1515341399,67,8,1,0,0,0,0,0,0,Adequate
Frozen II_2019,6.8,103,477,1450026933,64,4,0,1,0,0,0,0,0,Adequate
Top Gun: Maverick_2022,8.4,130,0,1440739744,78,1,1,0,1,0,0,0,0,Adequate
Avengers: Age of Ultron_2015,7.3,141,459,1402809540,66,8,1,0,0,0,0,1,0,Adequate
Black Panther_2018,7.3,134,700,1347597973,88,5,1,0,0,0,0,1,0,Adequate
Harry Potter and the Deathly Hallows: Part 2_2011,8.1,130,381,1342359942,85,12,0,0,0,0,0,0,1,Adequate
Star Wars: Episode VIII - The Last Jedi_2017,6.9,152,620,1332698830,84,6,1,0,0,0,0,0,0,Adequate
Jurassic World: Fallen Kingdom_2018,6.1,128,417,1310466296,51,5,1,0,0,0,0,1,0,Adequate
Frozen_2013,7.4,102,400,1281508100,75,10,0,1,0,0,0,0,0,Adequate
Beauty and the Beast_2017,7.1,129,504,1273576220,65,6,0,0,0,0,0,0,1,Adequate
Incredibles 2_2018,7.6,118,608,1243089244,80,5,1,0,0,0,0,0,0,Adequate
The Fate of the Furious_2017,6.6,136,226,1236005118,56,6,1,0,0,0,0,0,0,Adequate
Iron Man Three_2013,7.1,130,409,1214811252,62,10,1,0,0,0,0,1,0,Adequate
Minions_2015,6.4,91,336,1159444662,56,8,0,1,0,0,0,0,0,Adequate
Captain America: Civil War_2016,7.8,147,408,1153337496,75,7,1,0,0,0,0,1,0,Adequate
Aquaman_2018,6.8,143,335,1148528393,55,5,1,0,0,0,0,0,0,Adequate
The Lord of the Rings: The Return of the King_2003,9,201,377,1146436214,94,20,1,0,1,0,0,0,0,High
Spider-Man: Far from Home_2019,7.4,129,390,1131927996,69,4,1,0,0,0,0,1,0,Adequate
Captain Marvel_2019,6.8,123,426,1128462972,64,4,1,0,0,0,0,1,0,Adequate
